Websites,,,,,,,,,
Websites,,,,,,,,,
Name,Subitems,Person,Status,Launch Date,monday Doc v2,Link,Pastel URL,Google Drive,Notes
Tres - Demo Site,,,,,,https://543444cb20.nxcli.io - https://543444cb20.nxcli.io/,,,
Awebco.com - Homepage (BAM Plan),,,S10: Development,,,https://awebco.com/test,,,
Rivertown Machining,,Tres Sillings,s11: Development Proofing,,,https://93285e13a3.nxcli.io - https://93285e13a3.nxcli.io/,,,
Subitems,Name,Owner,Status,Date,monday Doc v2,,,,
,Sitemap,,Done,,,,,,
,50 Point Launch Checklist,,Not Started,,,,,,
SentryRoofing.com - REVAMP,,Tyler,S10: Development,,,https://sentryroofing.com/,,https://drive.google.com/drive/folders/1G888tDpZCCGCPRKBIuPsZz7TrcnrY_0a?usp=sharing,
Subitems,Name,Owner,Status,Date,monday Doc v2,,,,
,Home,,Done,,,,,,
,Services,,Done,,,,,,
,- - Roof Inspections,,Done,,,,,,
,- - Roof Repairs,,Done,,,,,,
,- - Roof Installations,,Done,,,,,,
,- - Roof Replacements,,Done,,,,,,
,- - Roof Maintenance,,Done,,,,,,
,Systems,,,,,,,,
,- - PVC Roofing Systems,,Done,,,,,,
,- - TPO Roofing Systems,,Done,,,,,,
,- - Metal Retrofit Roofing,,,,,,,,
,- - Warranties,,,,,,,,
,- - Roofing Products,,,,,,,,
,Services Areas,,,,,,,,
,- - Indiana,,,,,,,,
,- - - - 14 Cities,,,,,,,,
,- - Illinois,,,,,,,,
,- - - - 10 Cities,,,,,,,,
,About,,,,,,,,
,- - Portfolio,,,,,,,,
,- - Videos,,,,,,,,
,- - Staff,,,,,,,,
,- - Careers,,,,,,,,
,- - Awards,,,,,,,,
,- - Testimonials,,,,,,,,
,- - Partnerships,,,,,,,,
,Blog / Archive,,Done,,,,,,
,- -  Blog Single Post Template,,Done,,,,,,
,Contact,,,,,,,,
,Request Evaluation,,Done,,,,,,
Hall of Fame Plaques - REVAMP,,"Tyler, Petr Vancura",S10: Development,2026-04-30,,,,,
Silver Acres - Senior Living Apartments,,Tyler,S7: Content Collection,,,,,,
Subitems,Name,Owner,Status,Date,monday Doc v2,,,,
,Sitemap,,,,,,,,
,50 Point Launch Checklist,,Not Started,,,,,,
,Add to Website Portfolio,,Not Started,,,,,,
,Social Media Post,,Not Started,,,,,,
,,,,2026-04-30,,,,,
,,,,,,,,,
Launched,,,,,,,,,
Name,Subitems,Person,Status,Launch Date,monday Doc v2,Link,Pastel URL,Google Drive,Notes
Harper Well Drilling,,Tyler,S15: Launched,,,https://harperwelldrilling.com,,,
Subitems,Name,Owner,Status,Date,monday Doc v2,,,,
,Add to Portfolio,Rob Weller,Done,,,,,,
,Social Media Post,Rob Weller,Not Started,,,,,,
CCSFI,,Tyler,S15: Launched,2025-11-06,,https://ccsfi-il.com,,,
